system:index,B11,B12,B4,B8,VH,VV,.geo
136,3205.6176470588234,2399.764705882353,1852.6176470588234,3353.205882352941,-15.060137938205047,-8.651981768393076,"{""type"":""Point"",""coordinates"":[83.3129716166208,24.293698384048394]}"
137,3529.8055555555557,2890.972222222222,2182.5833333333335,3600.3888888888887,-16.261951837754182,-9.545333660391954,"{""type"":""Point"",""coordinates"":[82.52231301797782,27.470099715414207]}"
138,3784.097222222222,3241.0416666666665,2510.6944444444443,3681.6944444444443,-18.29463049812799,-11.684137754397982,"{""type"":""Point"",""coordinates"":[80.17111403854233,25.971224307828688]}"
139,3785.776119402985,3166.134328358209,2352.179104477612,3847.5522388059703,-17.8165867617255,-11.27422048912555,"{""type"":""Point"",""coordinates"":[81.84307683677011,27.076917033272878]}"
140,3675.1475409836066,3023.5081967213114,2175.0,3636.1147540983607,-17.299653565117833,-10.676053372028536,"{""type"":""Point"",""coordinates"":[83.3704599984588,27.096267015083942]}"
141,3693.3055555555557,3026.1944444444443,2211.527777777778,4004.0,-15.903958452782442,-8.905362500861509,"{""type"":""Point"",""coordinates"":[80.65843508501192,25.84937332927145]}"
142,3182.626865671642,2561.776119402985,2043.686567164179,3585.89552238806,-15.303411473224847,-9.218323275682005,"{""type"":""Point"",""coordinates"":[77.72290792311203,29.73634096991471]}"
143,3579.057142857143,2871.2,2115.8571428571427,3872.6285714285714,-16.826413259930174,-10.214980007417303,"{""type"":""Point"",""coordinates"":[81.91697844711534,26.671429222942947]}"
144,3384.4054054054054,2705.4864864864867,2064.837837837838,3671.7567567567567,-16.92423974671028,-10.276712841516638,"{""type"":""Point"",""coordinates"":[81.7738100728555,25.21177301178749]}"
145,1665.1486486486488,1495.8648648648648,1565.4054054054054,1787.5945945945946,-25.213460274322607,-17.93358742594959,"{""type"":""Point"",""coordinates"":[79.69349163021069,25.3730332431399]}"
146,2653.8205128205127,2228.230769230769,1970.6153846153845,2910.74358974359,-18.108311565616766,-11.890103553193253,"{""type"":""Point"",""coordinates"":[81.90878476999129,25.400880054231457]}"
147,3471.2,2768.0857142857144,2082.5142857142855,3813.114285714286,-15.676249574423334,-8.903664019399303,"{""type"":""Point"",""coordinates"":[81.38454750328572,27.026696117848985]}"
148,3748.818181818182,3108.935064935065,2227.246753246753,4166.376623376624,-16.920071767442607,-9.894827664345723,"{""type"":""Point"",""coordinates"":[79.50850533637309,27.075146869293224]}"
149,3483.2266666666665,2723.1866666666665,2061.1866666666665,3920.5066666666667,-15.587894947600557,-9.574340707968966,"{""type"":""Point"",""coordinates"":[78.97680106159912,26.041326466396097]}"
150,3101.25,2409.3888888888887,1847.9722222222222,3723.9166666666665,-16.013940219177734,-9.41470636704813,"{""type"":""Point"",""coordinates"":[77.55426849967012,29.091503313639897]}"
151,3491.7894736842104,2857.4736842105262,2138.2105263157896,3946.9473684210525,-16.611974680934814,-9.3448869924042,"{""type"":""Point"",""coordinates"":[79.19760002819545,28.389526447374777]}"
152,4544.736842105263,3728.75,2472.1973684210525,3767.6447368421054,-17.88224288521239,-11.20694005905779,"{""type"":""Point"",""coordinates"":[81.57201576431514,25.24753745353617]}"
153,3710.4794520547944,3045.041095890411,2255.27397260274,4057.8356164383563,-17.602193955025506,-10.475019759724153,"{""type"":""Point"",""coordinates"":[82.51985845734175,25.09126770994831]}"
